round,home_club,away_club,kickoff_at_utc
4,Olympiacos,OFI,2026-09-12 15:00
4,Iraklis,Atromitos,2026-09-12 17:00
4,Kalamata,Volos,2026-09-13 14:00
4,Asteras Tripolis,AEK Athens,2026-09-13 15:00
4,Kifisia,Levadiakos,2026-09-13 17:00
4,PAOK,Aris,2026-09-13 17:00
4,Panathinaikos,Panetolikos,2026-09-13 17:30
5,Aris,Iraklis,2026-09-19 16:00
5,Atromitos,Kifisia,2026-09-19 16:00
5,Kalamata,Panathinaikos,2026-09-19 16:00
5,Levadiakos,Olympiacos,2026-09-19 16:00
5,OFI,Asteras Tripolis,2026-09-19 16:00
5,Panetolikos,PAOK,2026-09-19 16:00
5,Volos,AEK Athens,2026-09-19 16:00
6,AEK Athens,OFI,2026-10-10 16:00
6,Aris,Volos,2026-10-10 16:00
6,Asteras Tripolis,Atromitos,2026-10-10 16:00
6,Iraklis,Levadiakos,2026-10-10 16:00
6,Kifisia,Panetolikos,2026-10-10 16:00
6,Olympiacos,Panathinaikos,2026-10-10 16:00
6,PAOK,Kalamata,2026-10-10 16:00
7,Atromitos,AEK Athens,2026-10-17 16:00
7,Kalamata,OFI,2026-10-17 16:00
7,Kifisia,Aris,2026-10-17 16:00
7,Levadiakos,Volos,2026-10-17 16:00
7,Panathinaikos,Asteras Tripolis,2026-10-17 16:00
7,Panetolikos,Olympiacos,2026-10-17 16:00
7,PAOK,Iraklis,2026-10-17 16:00
8,AEK Athens,Panetolikos,2026-10-24 16:00
8,Aris,Atromitos,2026-10-24 16:00
8,Asteras Tripolis,Levadiakos,2026-10-24 16:00
8,Iraklis,Kifisia,2026-10-24 16:00
8,OFI,PAOK,2026-10-24 16:00
8,Olympiacos,Kalamata,2026-10-24 16:00
8,Volos,Panathinaikos,2026-10-24 16:00
9,Atromitos,Volos,2026-10-31 17:00
9,Kalamata,Iraklis,2026-10-31 17:00
9,Kifisia,Olympiacos,2026-10-31 17:00
9,Levadiakos,Aris,2026-10-31 17:00
9,Panathinaikos,AEK Athens,2026-10-31 17:00
9,Panetolikos,OFI,2026-10-31 17:00
9,PAOK,Asteras Tripolis,2026-10-31 17:00
10,AEK Athens,Levadiakos,2026-11-07 17:00
10,Aris,Panetolikos,2026-11-07 17:00
10,Asteras Tripolis,Kalamata,2026-11-07 17:00
10,Iraklis,Panathinaikos,2026-11-07 17:00
10,OFI,Atromitos,2026-11-07 17:00
10,Olympiacos,PAOK,2026-11-07 17:00
10,Volos,Kifisia,2026-11-07 17:00
11,Asteras Tripolis,Aris,2026-11-21 17:00
11,Kalamata,AEK Athens,2026-11-21 17:00
11,Levadiakos,Atromitos,2026-11-21 17:00
11,Olympiacos,Iraklis,2026-11-21 17:00
11,Panathinaikos,OFI,2026-11-21 17:00
11,Panetolikos,Volos,2026-11-21 17:00
11,PAOK,Kifisia,2026-11-21 17:00
12,AEK Athens,PAOK,2026-11-28 17:00
12,Aris,Olympiacos,2026-11-28 17:00
12,Atromitos,Panathinaikos,2026-11-28 17:00
12,Iraklis,Panetolikos,2026-11-28 17:00
12,Kifisia,Kalamata,2026-11-28 17:00
12,OFI,Levadiakos,2026-11-28 17:00
12,Volos,Asteras Tripolis,2026-11-28 17:00
13,Asteras Tripolis,Kifisia,2026-12-05 17:00
13,Kalamata,Levadiakos,2026-12-05 17:00
13,OFI,Iraklis,2026-12-05 17:00
13,Olympiacos,AEK Athens,2026-12-05 17:00
13,Panathinaikos,Aris,2026-12-05 17:00
13,Panetolikos,Atromitos,2026-12-05 17:00
13,PAOK,Volos,2026-12-05 17:00
14,AEK Athens,Volos,2026-12-12 17:00
14,Atromitos,Olympiacos,2026-12-12 17:00
14,Iraklis,Aris,2026-12-12 17:00
14,Kalamata,Panetolikos,2026-12-12 17:00
14,Kifisia,OFI,2026-12-12 17:00
14,Levadiakos,Asteras Tripolis,2026-12-12 17:00
14,PAOK,Panathinaikos,2026-12-12 17:00
15,Aris,AEK Athens,2026-12-19 17:00
15,Asteras Tripolis,PAOK,2026-12-19 17:00
15,Kifisia,Atromitos,2026-12-19 17:00
15,OFI,Kalamata,2026-12-19 17:00
15,Olympiacos,Panetolikos,2026-12-19 17:00
15,Panathinaikos,Iraklis,2026-12-19 17:00
15,Volos,Levadiakos,2026-12-19 17:00
16,AEK Athens,Atromitos,2027-01-09 17:00
16,Aris,PAOK,2027-01-09 17:00
16,Asteras Tripolis,Panathinaikos,2027-01-09 17:00
16,Iraklis,Volos,2027-01-09 17:00
16,Kalamata,Olympiacos,2027-01-09 17:00
16,Levadiakos,OFI,2027-01-09 17:00
16,Panetolikos,Kifisia,2027-01-09 17:00
17,AEK Athens,Kalamata,2027-01-16 17:00
17,Atromitos,Panetolikos,2027-01-16 17:00
17,Kifisia,Asteras Tripolis,2027-01-16 17:00
17,Levadiakos,Iraklis,2027-01-16 17:00
17,OFI,Panathinaikos,2027-01-16 17:00
17,PAOK,Olympiacos,2027-01-16 17:00
17,Volos,Aris,2027-01-16 17:00
18,Aris,Kifisia,2027-01-23 17:00
18,Iraklis,PAOK,2027-01-23 17:00
18,Kalamata,Asteras Tripolis,2027-01-23 17:00
